Village A,Village B,Village C,Village D,Village E
0.20315,0.20315,0.20315,0.20315,0.20315
0.29634,0.29634,0.29634,0.29634,0.29634
0.30888,0.30888,0.30888,0.30888,0.30888
0.3964,0.3964,0.3964,0.3964,0.3964
0.40682,0.40682,0.40682,0.40682,0.40682
0.39588,0.39588,0.39588,0.39588,0.39588
0.22541,0.22541,0.22541,0.22541,0.22541
0.07539,0.07539,0.07539,0.07539,0.07539
0.04587,0.04587,0.04587,0.04587,0.04587
0.0053,0.0053,0.0053,0.0053,0.0053
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.03434,0.03434,0.03434,0.03434,0.03434
0.09117,0.09117,0.09117,0.09117,0.09117
0.27082,0.27082,0.27082,0.27082,0.27082
0.27898,0.27898,0.27898,0.27898,0.27898
0.44875,0.44875,0.44875,0.44875,0.44875
0.56683,0.56683,0.56683,0.56683,0.56683
0.60813,0.60813,0.60813,0.60813,0.60813
0.49728,0.49728,0.49728,0.49728,0.49728
0.51296,0.51296,0.51296,0.51296,0.51296
0.36298,0.36298,0.36298,0.36298,0.36298
0.15855,0.15855,0.15855,0.15855,0.15855
0.07215,0.07215,0.07215,0.07215,0.07215
0.00691,0.00691,0.00691,0.00691,0.00691
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0165,0.0165,0.0165,0.0165,0.0165
0.17044,0.17044,0.17044,0.17044,0.17044
0.3069,0.3069,0.3069,0.3069,0.3069
0.40235,0.40235,0.40235,0.40235,0.40235
0.55377,0.55377,0.55377,0.55377,0.55377
0.65202,0.65202,0.65202,0.65202,0.65202
0.69047,0.69047,0.69047,0.69047,0.69047
0.64638,0.64638,0.64638,0.64638,0.64638
0.54566,0.54566,0.54566,0.54566,0.54566
0.32154,0.32154,0.32154,0.32154,0.32154
0.14846,0.14846,0.14846,0.14846,0.14846
0.05773,0.05773,0.05773,0.05773,0.05773
0.0045,0.0045,0.0045,0.0045,0.0045
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.04296,0.04296,0.04296,0.04296,0.04296
0.16652,0.16652,0.16652,0.16652,0.16652
0.33529,0.33529,0.33529,0.33529,0.33529
0.48013,0.48013,0.48013,0.48013,0.48013
0.55874,0.55874,0.55874,0.55874,0.55874
0.60311,0.60311,0.60311,0.60311,0.60311
0.71328,0.71328,0.71328,0.71328,0.71328
0.67663,0.67663,0.67663,0.67663,0.67663
